"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1987-03-26,"Boston Bruins",1,4,47,23,5,"L 1","L","A"
1987-03-28,"Toronto Maple Leafs",2,4,47,24,5,"L 2","L","A"
1987-03-29,"Buffalo Sabres",3,2,48,24,5,"W 1","W","A"
1987-03-31,"Winnipeg Jets",5,4,49,24,5,"W 2","OTW","H"
1987-04-02,"Calgary Flames",4,4,49,24,6,"T 1","T","H"
1987-04-04,"Los Angeles Kings",7,3,50,24,6,"W 1","W","A"
1987-10-09,"Detroit Red Wings",1,4,0,1,0,"L 1","L","H"
1987-10-11,"Los Angeles Kings",9,2,1,1,0,"W 1","W","A"
1987-10-14,"Calgary Flames",4,5,1,2,0,"L 1","L","H"
1987-10-16,"Calgary Flames",5,2,2,2,0,"W 1","W","A"
1987-10-17,"Boston Bruins",4,3,3,2,0,"W 2","W","H"
1987-10-21,"Los Angeles Kings",6,2,4,2,0,"W 3","W","H"
1987-10-23,"Vancouver Canucks",5,4,5,2,0,"W 4","OTW","A"
1987-10-24,"Vancouver Canucks",9,5,6,2,0,"W 5","W","H"
1987-10-27,"Quebec Nordiques",0,5,6,3,0,"L 1","L","A"
1987-10-28,"Montreal Canadiens",1,3,6,4,0,"L 2","L","A"
1987-10-31,"New Jersey Devils",5,6,6,5,0,"L 3","L","A"
1987-11-01,"New York Rangers",7,6,7,5,0,"W 1","W","A"
1987-11-04,"New York Rangers",7,2,8,5,0,"W 2","W","H"
1987-11-05,"Calgary Flames",4,4,8,5,1,"T 1","T","A"
1987-11-07,"Buffalo Sabres",5,0,9,5,1,"W 1","W","H"
1987-11-10,"Los Angeles Kings",4,4,9,5,2,"T 1","T","A"
1987-11-14,"St. Louis Blues",6,5,10,5,2,"W 1","OTW","A"
1987-11-15,"Chicago Blackhawks",4,5,10,6,2,"L 1","L","A"
1987-11-18,"Quebec Nordiques",4,1,11,6,2,"W 1","W","H"
1987-11-20,"Pittsburgh Penguins",4,1,12,6,2,"W 2","W","H"
1987-11-22,"Winnipeg Jets",3,4,12,7,2,"L 1","OTL","A"
1987-11-25,"New Jersey Devils",7,8,12,8,2,"L 2","OTL","H"
1987-11-27,"Chicago Blackhawks",4,3,13,8,2,"W 1","W","H"
1987-11-29,"Buffalo Sabres",5,2,14,8,2,"W 2","W","A"
1987-12-01,"Washington Capitals",2,4,14,9,2,"L 1","L","A"
1987-12-02,"Detroit Red Wings",4,7,14,10,2,"L 2","L","A"
1987-12-05,"Toronto Maple Leafs",5,2,15,10,2,"W 1","W","H"
1987-12-06,"Minnesota North Stars",10,4,16,10,2,"W 2","W","H"
1987-12-09,"Winnipeg Jets",2,0,17,10,2,"W 3","W","H"
1987-12-11,"Vancouver Canucks",2,1,18,10,2,"W 4","W","H"
1987-12-12,"Vancouver Canucks",6,3,19,10,2,"W 5","W","A"
1987-12-16,"Los Angeles Kings",5,7,19,11,2,"L 1","L","A"
1987-12-18,"Winnipeg Jets",5,5,19,11,3,"T 1","T","H"
1987-12-19,"Hartford Whalers",3,4,19,12,3,"L 1","L","H"
1987-12-22,"Los Angeles Kings",5,2,20,12,3,"W 1","W","H"
1987-12-26,"Calgary Flames",5,4,21,12,3,"W 2","W","A"
1987-12-28,"Vancouver Canucks",7,3,22,12,3,"W 3","W","H"
1987-12-30,"Philadelphia Flyers",6,0,23,12,3,"W 4","W","H"
1988-01-02,"Washington Capitals",0,2,23,13,3,"L 1","L","A"
1988-01-04,"Boston Bruins",2,2,23,13,4,"T 1","T","A"
1988-01-06,"Hartford Whalers",5,1,24,13,4,"W 1","W","A"
1988-01-08,"Winnipeg Jets",4,4,24,13,5,"T 1","T","A"
1988-01-09,"New York Islanders",5,1,25,13,5,"W 1","W","H"
1988-01-11,"Washington Capitals",3,2,26,13,5,"W 2","W","H"
1988-01-13,"Calgary Flames",5,3,27,13,5,"W 3","W","H"
1988-01-15,"Winnipeg Jets",4,4,27,13,6,"T 1","T","H"
1988-01-18,"Montreal Canadiens",4,6,27,14,6,"L 1","L","A"
1988-01-19,"Quebec Nordiques",4,4,27,14,7,"T 1","T","A"
1988-01-21,"Philadelphia Flyers",1,3,27,15,7,"L 1","L","A"
1988-01-23,"New York Islanders",2,3,27,16,7,"L 2","L","A"
1988-01-25,"Pittsburgh Penguins",6,4,28,16,7,"W 1","W","A"
1988-01-29,"Calgary Flames",4,5,28,17,7,"L 1","L","H"
1988-01-30,"Hartford Whalers",5,2,29,17,7,"W 1","W","H"
1988-02-03,"New Jersey Devils",8,5,30,17,7,"W 2","W","H"
1988-02-06,"Los Angeles Kings",2,7,30,18,7,"L 1","L","A"
1988-02-11,"Vancouver Canucks",7,2,31,18,7,"W 1","W","A"
1988-02-12,"Boston Bruins",4,7,31,19,7,"L 1","L","H"
1988-02-14,"Vancouver Canucks",7,6,32,19,7,"W 1","W","H"
1988-02-17,"Toronto Maple Leafs",4,4,32,19,8,"T 1","T","H"
1988-02-19,"Pittsburgh Penguins",7,3,33,19,8,"W 1","W","H"
1988-02-21,"Winnipeg Jets",4,3,34,19,8,"W 2","OTW","A"
1988-02-23,"St. Louis Blues",6,4,35,19,8,"W 3","W","A"
1988-02-24,"Chicago Blackhawks",4,6,35,20,8,"L 1","L","A"
1988-02-28,"Calgary Flames",2,3,35,21,8,"L 2","L","H"
1988-03-01,"Los Angeles Kings",5,3,36,21,8,"W 1","W","H"
1988-03-04,"Philadelphia Flyers",7,4,37,21,8,"W 2","W","H"
1988-03-05,"Calgary Flames",4,7,37,22,8,"L 1","L","A"
1988-03-07,"Winnipeg Jets",6,0,38,22,8,"W 1","W","A"
1988-03-09,"Montreal Canadiens",1,4,38,23,8,"L 1","L","H"
1988-03-12,"Vancouver Canucks",3,3,38,23,9,"T 1","T","A"
1988-03-15,"Buffalo Sabres",6,4,39,23,9,"W 1","W","H"
1988-03-18,"Winnipeg Jets",4,1,40,23,9,"W 2","W","H"
1988-03-20,"Minnesota North Stars",5,5,40,23,10,"T 1","T","A"
1988-03-22,"Detroit Red Wings",6,4,41,23,10,"W 1","W","A"
1988-03-24,"New York Rangers",1,6,41,24,10,"L 1","L","A"
1988-03-26,"New York Islanders",4,5,41,25,10,"L 2","L","A"
1988-03-28,"Toronto Maple Leafs",6,4,42,25,10,"W 1","W","A"
1988-03-30,"Minnesota North Stars",6,3,43,25,10,"W 2","W","H"
1988-04-01,"St. Louis Blues",5,2,44,25,10,"W 3","W","H"
1988-04-03,"Los Angeles Kings",5,5,44,25,11,"T 1","T","H"
1988-10-06,"Detroit Red Wings",8,2,1,0,0,"W 1","W","H"
1988-10-08,"Calgary Flames",6,5,2,0,0,"W 2","OTW","H"
1988-10-09,"New York Islanders",6,5,3,0,0,"W 3","OTW","H"
1988-10-12,"Boston Bruins",6,2,4,0,0,"W 4","W","H"
1988-10-15,"Philadelphia Flyers",1,4,4,1,0,"L 1","L","H"
1988-10-17,"Calgary Flames",4,11,4,2,0,"L 2","L","A"
1988-10-19,"Edmonton Oilers",6,8,4,3,0,"L 3","L","A"
1988-10-22,"Minnesota North Stars",8,2,5,3,0,"W 1","W","H"
1988-10-25,"Edmonton Oilers",4,5,5,4,0,"L 1","L","H"
1988-10-28,"Winnipeg Jets",7,4,6,4,0,"W 1","W","A"
1988-10-30,"Winnipeg Jets",4,8,6,5,0,"L 1","L","A"
1988-11-01,"Quebec Nordiques",3,1,7,5,0,"W 1","W","A"
1988-11-02,"Montreal Canadiens",3,5,7,6,0,"L 1","L","A"
1988-11-05,"Toronto Maple Leafs",6,4,8,6,0,"W 1","W","A"
1988-11-06,"Chicago Blackhawks",5,3,9,6,0,"W 2","W","A"
1988-11-10,"Hartford Whalers",7,2,10,6,0,"W 3","W","H"
1988-11-12,"Pittsburgh Penguins",7,2,11,6,0,"W 4","W","H"
1988-11-15,"Vancouver Canucks",6,4,12,6,0,"W 5","W","H"
1988-11-17,"New York Rangers",5,6,12,7,0,"L 1","L","H"
1988-11-19,"Buffalo Sabres",5,4,13,7,0,"W 1","W","H"
1988-11-22,"Philadelphia Flyers",6,1,14,7,0,"W 2","W","A"
1988-11-23,"Detroit Red Wings",8,3,15,7,0,"W 3","W","A"
1988-11-26,"Calgary Flames",1,4,15,8,0,"L 1","L","A"
1988-11-27,"Vancouver Canucks",2,5,15,9,0,"L 2","L","A"
1988-11-29,"New Jersey Devils",9,3,16,9,0,"W 1","W","H"
1988-12-01,"Toronto Maple Leafs",9,3,17,9,0,"W 2","W","H"
1988-12-03,"Chicago Blackhawks",6,4,18,9,0,"W 3","W","H"
1988-12-06,"Winnipeg Jets",4,5,18,10,0,"L 1","OTL","H"
1988-12-08,"Winnipeg Jets",5,5,18,10,1,"T 1","T","H"
1988-12-10,"New York Islanders",4,3,19,10,1,"W 1","W","A"
1988-12-12,"New York Rangers",5,2,20,10,1,"W 2","W","A"
1988-12-14,"Pittsburgh Penguins",4,5,20,11,1,"L 1","L","A"
1988-12-16,"Detroit Red Wings",6,4,21,11,1,"W 1","W","A"
1988-12-17,"Minnesota North Stars",2,3,21,12,1,"L 1","L","A"
1988-12-20,"Calgary Flames",7,3,22,12,1,"W 1","W","H"
1988-12-21,"Minnesota North Stars",8,6,23,12,1,"W 2","W","H"
1988-12-23,"Vancouver Canucks",5,2,24,12,1,"W 3","W","A"
1988-12-27,"Montreal Canadiens",2,3,24,13,1,"L 1","L","H"
1988-12-29,"Vancouver Canucks",3,6,24,14,1,"L 2","L","H"
1989-01-05,"Calgary Flames",6,8,24,15,1,"L 3","L","A"
1989-01-06,"Winnipeg Jets",4,4,24,15,2,"T 1","T","A"
1989-01-08,"Winnipeg Jets",4,4,24,15,3,"T 2","T","A"
1989-01-10,"Edmonton Oilers",5,4,25,15,3,"W 1","OTW","H"
1989-01-12,"St. Louis Blues",7,4,26,15,3,"W 2","W","H"
1989-01-14,"Hartford Whalers",9,6,27,15,3,"W 3","W","H"
1989-01-17,"St. Louis Blues",2,5,27,16,3,"L 1","L","A"
1989-01-19,"New York Islanders",2,4,27,17,3,"L 2","L","A"
1989-01-21,"Hartford Whalers",4,5,27,18,3,"L 3","L","A"
1989-01-24,"Washington Capitals",4,4,27,18,4,"T 1","T","A"
1989-01-26,"Vancouver Canucks",2,6,27,19,4,"L 1","L","H"
1989-01-28,"Edmonton Oilers",6,7,27,20,4,"L 2","L","H"
1989-01-31,"Calgary Flames",5,8,27,21,4,"L 3","L","H"
1989-02-02,"New Jersey Devils",6,6,27,21,5,"T 1","T","H"
1989-02-04,"Buffalo Sabres",5,3,28,21,5,"W 1","W","H"
1989-02-09,"Boston Bruins",1,4,28,22,5,"L 1","L","A"
1989-02-10,"Washington Capitals",7,6,29,22,5,"W 1","OTW","A"
1989-02-12,"Chicago Blackhawks",6,2,30,22,5,"W 2","W","A"
1989-02-15,"Boston Bruins",3,7,30,23,5,"L 1","L","H"
1989-02-18,"Quebec Nordiques",11,3,31,23,5,"W 1","W","H"
1989-02-20,"Toronto Maple Leafs",5,4,32,23,5,"W 2","W","H"
1989-02-22,"Washington Capitals",2,7,32,24,5,"L 1","L","H"
1989-02-24,"Edmonton Oilers",1,4,32,25,5,"L 2","L","A"
1989-02-26,"New Jersey Devils",1,1,32,25,6,"T 1","T","A"
1989-02-27,"New York Rangers",4,6,32,26,6,"L 1","L","A"
1989-03-01,"Buffalo Sabres",5,4,33,26,6,"W 1","W","A"
1989-03-02,"St. Louis Blues",4,6,33,27,6,"L 1","L","A"
1989-03-04,"Philadelphia Flyers",6,2,34,27,6,"W 1","W","H"
1989-03-07,"Pittsburgh Penguins",3,2,35,27,6,"W 2","OTW","H"
1989-03-10,"Vancouver Canucks",2,4,35,28,6,"L 1","L","A"
1989-03-12,"Edmonton Oilers",6,3,36,28,6,"W 1","W","A"
1989-03-14,"Quebec Nordiques",4,0,37,28,6,"W 2","W","A"
1989-03-15,"Montreal Canadiens",2,5,37,29,6,"L 1","L","A"
1989-03-18,"Calgary Flames",3,9,37,30,6,"L 2","L","H"
1989-03-21,"Edmonton Oilers",4,3,38,30,6,"W 1","W","A"
1989-03-23,"Calgary Flames",2,4,38,31,6,"L 1","L","A"
1989-03-25,"Edmonton Oilers",4,2,39,31,6,"W 1","W","H"
1989-03-28,"Winnipeg Jets",3,3,39,31,7,"T 1","T","H"
1989-03-29,"Winnipeg Jets",2,1,40,31,7,"W 1","OTW","H"
1989-04-01,"Vancouver Canucks",6,4,41,31,7,"W 2","W","H"
1989-04-02,"Vancouver Canucks",5,4,42,31,7,"W 3","W","A"
1989-10-05,"Toronto Maple Leafs",4,2,1,0,0,"W 1","W","H"
1989-10-07,"Edmonton Oilers",5,6,1,1,0,"L 1","L","H"
1989-10-08,"Detroit Red Wings",5,0,2,1,0,"W 1","W","H"
1989-10-11,"New York Islanders",4,7,2,2,0,"L 1","L","H"
1989-10-13,"Vancouver Canucks",6,5,3,2,0,"W 1","W","A"
1989-10-15,"Edmonton Oilers",5,4,4,2,0,"W 2","OTW","A"
1989-10-17,"Boston Bruins",2,3,4,3,0,"L 1","L","H"
1989-10-21,"St. Louis Blues",6,4,5,3,0,"W 1","W","A"
1989-10-22,"Chicago Blackhawks",4,7,5,4,0,"L 1","L","A"
1989-10-25,"Calgary Flames",0,5,5,5,0,"L 2","L","H"
1989-10-27,"Winnipeg Jets",3,1,6,5,0,"W 1","W","A"
1989-10-29,"Winnipeg Jets",1,6,6,6,0,"L 1","L","A"
1989-10-31,"Pittsburgh Penguins",8,4,7,6,0,"W 1","W","A"
1989-11-02,"Boston Bruins",4,5,7,7,0,"L 1","OTL","A"
1989-11-04,"Hartford Whalers",3,6,7,8,0,"L 2","L","A"
1989-11-05,"Buffalo Sabres",3,5,7,9,0,"L 3","L","A"
1989-11-08,"Calgary Flames",4,5,7,10,0,"L 4","L","H"
1989-11-11,"Montreal Canadiens",5,4,8,10,0,"W 1","W","H"
1989-11-14,"Calgary Flames",8,6,9,10,0,"W 2","W","A"
1989-11-15,"Edmonton Oilers",2,2,9,10,1,"T 1","T","A"
1989-11-18,"Washington Capitals",5,3,10,10,1,"W 1","W","H"
1989-11-22,"Chicago Blackhawks",6,3,11,10,1,"W 2","W","H"
1989-11-25,"Vancouver Canucks",7,4,12,10,1,"W 3","W","H"
1989-11-26,"Vancouver Canucks",3,3,12,10,2,"T 1","T","A"
1989-11-30,"Edmonton Oilers",6,7,12,11,2,"L 1","L","H"
1989-12-02,"New York Rangers",6,0,13,11,2,"W 1","W","H"
1989-12-06,"Vancouver Canucks",5,4,14,11,2,"W 2","OTW","H"
1989-12-08,"Edmonton Oilers",4,5,14,12,2,"L 1","OTL","A"
1989-12-10,"Quebec Nordiques",8,4,15,12,2,"W 1","W","A"
1989-12-11,"Montreal Canadiens",2,2,15,12,3,"T 1","T","A"
1989-12-13,"Hartford Whalers",5,2,16,12,3,"W 1","W","A"
1989-12-15,"New Jersey Devils",5,7,16,13,3,"L 1","L","A"
1989-12-16,"Philadelphia Flyers",2,5,16,14,3,"L 2","L","A"
1989-12-19,"Winnipeg Jets",9,5,17,14,3,"W 1","W","H"
1989-12-21,"Quebec Nordiques",6,1,18,14,3,"W 2","W","H"
1989-12-23,"Vancouver Canucks",4,1,19,14,3,"W 3","W","H"
1989-12-27,"Calgary Flames",5,5,19,14,4,"T 1","T","H"
1989-12-30,"Philadelphia Flyers",3,6,19,15,4,"L 1","L","H"
1990-01-01,"Washington Capitals",7,4,20,15,4,"W 1","W","A"
1990-01-02,"New York Islanders",3,5,20,16,4,"L 1","L","A"
1990-01-04,"New Jersey Devils",2,4,20,17,4,"L 2","L","A"
1990-01-06,"Toronto Maple Leafs",4,7,20,18,4,"L 3","L","A"
1990-01-09,"St. Louis Blues",3,4,20,19,4,"L 4","L","H"
1990-01-11,"Edmonton Oilers",3,3,20,19,5,"T 1","T","H"
1990-01-13,"Hartford Whalers",3,6,20,20,5,"L 1","L","H"
1990-01-16,"Buffalo Sabres",2,4,20,21,5,"L 2","L","H"
1990-01-18,"Detroit Red Wings",9,4,21,21,5,"W 1","W","H"
1990-01-23,"Vancouver Canucks",3,3,21,21,6,"T 1","T","A"
1990-01-25,"Edmonton Oilers",6,7,21,22,6,"L 1","L","A"
1990-01-27,"New York Rangers",1,3,21,23,6,"L 2","L","H"
1990-01-30,"New Jersey Devils",5,2,22,23,6,"W 1","W","H"
1990-02-01,"Chicago Blackhawks",4,7,22,24,6,"L 1","L","H"
1990-02-03,"Calgary Flames",4,3,23,24,6,"W 1","W","H"
1990-02-06,"Calgary Flames",5,3,24,24,6,"W 2","W","A"
1990-02-08,"Winnipeg Jets",1,5,24,25,6,"L 1","L","H"
1990-02-10,"Pittsburgh Penguins",6,7,24,26,6,"L 2","L","A"
1990-02-12,"Toronto Maple Leafs",3,5,24,27,6,"L 3","L","A"
1990-02-14,"Detroit Red Wings",5,6,24,28,6,"L 4","L","A"
1990-02-15,"Minnesota North Stars",3,6,24,29,6,"L 5","L","A"
1990-02-17,"Quebec Nordiques",7,1,25,29,6,"W 1","W","H"
1990-02-19,"Washington Capitals",3,2,26,29,6,"W 2","W","H"
1990-02-21,"Minnesota North Stars",4,2,27,29,6,"W 3","W","H"
1990-02-24,"Vancouver Canucks",4,6,27,30,6,"L 1","L","H"
1990-02-28,"Edmonton Oilers",4,2,28,30,6,"W 1","W","H"
1990-03-02,"Winnipeg Jets",3,9,28,31,6,"L 1","L","A"
1990-03-04,"Winnipeg Jets",2,5,28,32,6,"L 2","L","A"
1990-03-05,"Calgary Flames",0,5,28,33,6,"L 3","L","A"
1990-03-07,"Montreal Canadiens",2,5,28,34,6,"L 4","L","H"
1990-03-10,"Pittsburgh Penguins",8,2,29,34,6,"W 1","W","H"
1990-03-12,"New York Rangers",6,2,30,34,6,"W 2","W","A"
1990-03-14,"Buffalo Sabres",6,5,31,34,6,"W 3","OTW","A"
1990-03-17,"Boston Bruins",5,4,32,34,6,"W 4","W","A"
1990-03-18,"Philadelphia Flyers",4,7,32,35,6,"L 1","L","A"
1990-03-20,"Minnesota North Stars",2,5,32,36,6,"L 2","L","A"
1990-03-22,"New York Islanders",3,1,33,36,6,"W 1","W","H"
1990-03-24,"St. Louis Blues",9,3,34,36,6,"W 2","W","H"
1990-03-27,"Winnipeg Jets",4,4,34,36,7,"T 1","T","H"
1990-03-29,"Winnipeg Jets",0,1,34,37,7,"L 1","L","H"
1990-03-31,"Vancouver Canucks",3,6,34,38,7,"L 2","L","A"
1990-04-01,"Calgary Flames",4,8,34,39,7,"L 3","L","A"
1990-10-04,"New York Islanders",4,1,1,0,0,"W 1","W","H"
1990-10-06,"Vancouver Canucks",3,6,1,1,0,"L 1","L","H"
1990-10-09,"Vancouver Canucks",6,2,2,1,0,"W 1","W","A"
1990-10-11,"Edmonton Oilers",5,5,2,1,1,"T 1","T","H"
1990-10-13,"Boston Bruins",7,1,3,1,1,"W 1","W","H"
1990-10-14,"St. Louis Blues",4,1,4,1,1,"W 2","W","H"
1990-10-17,"Minnesota North Stars",5,2,5,1,1,"W 3","W","H"
1990-10-19,"Hartford Whalers",5,2,6,1,1,"W 4","W","H"
1990-10-23,"Calgary Flames",6,4,7,1,1,"W 5","W","H"
1990-10-26,"Winnipeg Jets",2,6,7,2,1,"L 1","L","A"
1990-10-28,"Winnipeg Jets",6,2,8,2,1,"W 1","W","A"
1990-10-30,"New York Islanders",4,1,9,2,1,"W 2","W","A"
1990-10-31,"New York Rangers",4,9,9,3,1,"L 1","L","A"
1990-11-02,"Washington Capitals",3,4,9,4,1,"L 2","L","A"
1990-11-04,"Chicago Blackhawks",2,0,10,4,1,"W 1","W","A"
1990-11-08,"Detroit Red Wings",5,1,11,4,1,"W 2","W","H"
1990-11-10,"Edmonton Oilers",7,4,12,4,1,"W 3","W","H"
1990-11-14,"Buffalo Sabres",4,2,13,4,1,"W 4","W","H"
1990-11-17,"Pittsburgh Penguins",2,1,14,4,1,"W 5","OTW","H"
1990-11-20,"New Jersey Devils",5,4,15,4,1,"W 6","W","H"
1990-11-22,"Calgary Flames",3,6,15,5,1,"L 1","L","A"
1990-11-24,"Montreal Canadiens",4,2,16,5,1,"W 1","W","A"
1990-11-25,"Quebec Nordiques",4,4,16,5,2,"T 1","T","A"
1990-11-27,"Detroit Red Wings",3,4,16,6,2,"L 1","L","A"
1990-11-29,"St. Louis Blues",4,4,16,6,3,"T 1","T","A"
1990-12-01,"Toronto Maple Leafs",3,4,16,7,3,"L 1","L","H"
1990-12-05,"Winnipeg Jets",3,3,16,7,4,"T 1","T","H"
1990-12-08,"Winnipeg Jets",4,4,16,7,5,"T 2","T","H"
1990-12-11,"New York Rangers",4,6,16,8,5,"L 1","L","H"
1990-12-13,"Calgary Flames",1,4,16,9,5,"L 2","L","H"
1990-12-15,"Edmonton Oilers",8,3,17,9,5,"W 1","W","H"
1990-12-18,"Edmonton Oilers",3,4,17,10,5,"L 1","L","A"
1990-12-20,"Calgary Flames",4,3,18,10,5,"W 1","OTW","A"
1990-12-22,"Vancouver Canucks",3,4,18,11,5,"L 1","L","A"
1990-12-27,"Philadelphia Flyers",5,7,18,12,5,"L 2","L","H"
1990-12-29,"Montreal Canadiens",2,3,18,13,5,"L 3","L","H"
1990-12-31,"Minnesota North Stars",4,2,19,13,5,"W 1","W","A"
1991-01-02,"New York Rangers",1,4,19,14,5,"L 1","L","A"
1991-01-03,"New York Islanders",6,3,20,14,5,"W 1","W","A"
1991-01-05,"Toronto Maple Leafs",4,2,21,14,5,"W 2","W","A"
1991-01-06,"Chicago Blackhawks",3,1,22,14,5,"W 3","W","A"
1991-01-08,"Hartford Whalers",4,3,23,14,5,"W 4","OTW","H"
1991-01-10,"Buffalo Sabres",5,2,24,14,5,"W 5","W","H"
1991-01-12,"Vancouver Canucks",6,2,25,14,5,"W 6","W","H"
1991-01-14,"New Jersey Devils",6,1,26,14,5,"W 7","W","A"
1991-01-16,"Hartford Whalers",3,4,26,15,5,"L 1","L","A"
1991-01-17,"Boston Bruins",3,5,26,16,5,"L 2","L","A"
1991-01-22,"Edmonton Oilers",2,4,26,17,5,"L 3","L","A"
1991-01-25,"Vancouver Canucks",5,1,27,17,5,"W 1","W","A"
1991-01-26,"Vancouver Canucks",5,4,28,17,5,"W 2","W","H"
1991-01-30,"New Jersey Devils",2,4,28,18,5,"L 1","L","H"
1991-02-02,"Vancouver Canucks",9,1,29,18,5,"W 1","W","H"
1991-02-04,"Detroit Red Wings",6,4,30,18,5,"W 2","W","A"
1991-02-05,"Philadelphia Flyers",3,2,31,18,5,"W 3","W","A"
1991-02-08,"Buffalo Sabres",4,4,31,18,6,"T 1","T","A"
1991-02-09,"St. Louis Blues",4,5,31,19,6,"L 1","L","A"
1991-02-12,"Calgary Flames",4,4,31,19,7,"T 1","T","H"
1991-02-14,"Edmonton Oilers",4,2,32,19,7,"W 1","W","A"
1991-02-16,"Boston Bruins",4,5,32,20,7,"L 1","OTL","H"
1991-02-18,"Washington Capitals",5,2,33,20,7,"W 1","W","H"
1991-02-20,"Quebec Nordiques",6,1,34,20,7,"W 2","W","H"
1991-02-22,"Winnipeg Jets",6,4,35,20,7,"W 3","W","A"
1991-02-24,"Winnipeg Jets",5,3,36,20,7,"W 4","W","A"
1991-02-26,"Pittsburgh Penguins",8,2,37,20,7,"W 5","W","H"
1991-02-28,"Winnipeg Jets",4,2,38,20,7,"W 6","W","H"
1991-03-02,"Winnipeg Jets",6,3,39,20,7,"W 7","W","H"
1991-03-05,"Washington Capitals",3,3,39,20,8,"T 1","T","A"
1991-03-07,"Pittsburgh Penguins",2,3,39,21,8,"L 1","L","A"
1991-03-09,"Quebec Nordiques",3,0,40,21,8,"W 1","W","A"
1991-03-10,"Montreal Canadiens",4,4,40,21,9,"T 1","T","A"
1991-03-12,"Philadelphia Flyers",6,0,41,21,9,"W 1","W","H"
1991-03-14,"Chicago Blackhawks",3,6,41,22,9,"L 1","L","H"
1991-03-16,"Calgary Flames",4,3,42,22,9,"W 1","W","A"
